,subject,session,runs,samples,trs
646,130,ses-01,4,3727500,497
647,130,ses-01,5,1860001,248
648,130,ses-01,6,1860000,248
649,130,ses-02,1,3727500,497
650,130,ses-02,2,3720001,496
651,130,ses-02,3,3720000,496
652,130,ses-02,4,3727500,497
653,130,ses-02,5,1860000,248
654,130,ses-02,6,1860000,248
655,230,ses-01,1,3727500,497
656,230,ses-01,2,3720000,496
657,230,ses-01,3,3720000,496
658,230,ses-01,4,3727499,496
659,230,ses-01,5,1860000,248
660,230,ses-01,6,1860000,248
661,230,ses-02,1,3727500,497
662,230,ses-02,2,3719999,495
663,230,ses-02,3,3719999,495
664,230,ses-02,4,3727500,497
665,230,ses-02,5,1860000,248
666,230,ses-02,6,1860000,248
667,131,ses-01,1,3727500,497
668,131,ses-01,2,3720001,496
669,131,ses-01,3,3720001,496
670,131,ses-01,4,3727501,497
671,131,ses-01,5,1860000,248
672,131,ses-01,6,1860000,248
673,131,ses-02,1,3727500,497
674,131,ses-02,2,3720000,496
675,131,ses-02,3,3719999,495
676,131,ses-02,4,3727500,497
677,131,ses-02,5,1860000,248
678,131,ses-02,6,1859999,247
679,231,ses-01,1,3727500,497
680,231,ses-01,2,3720000,496
681,231,ses-01,3,3720000,496
682,231,ses-01,4,3727500,497
683,231,ses-01,5,1860000,248
684,231,ses-01,6,1859999,247
685,231,ses-02,1,585000,78
686,231,ses-02,2,3719999,495
687,231,ses-02,3,3720000,496
688,231,ses-02,4,3720000,496
689,231,ses-02,5,3727500,497
690,231,ses-02,6,1860000,248
691,231,ses-02,7,1860000,248
692,132,ses-01,1,3727500,497
693,132,ses-01,2,3719999,495
694,132,ses-01,3,3720000,496
695,132,ses-01,4,3727500,497
696,132,ses-01,5,1860000,248
697,132,ses-01,6,1860000,248
698,132,ses-02,1,3727500,497
699,132,ses-02,2,3720000,496
700,132,ses-02,3,3720000,496
701,132,ses-02,4,3727500,497
702,132,ses-02,5,1860000,248
703,132,ses-02,6,1860000,248
704,232,ses-01,1,3727500,497
705,232,ses-01,2,3720000,496
706,232,ses-01,3,3720000,496
707,232,ses-01,4,3727500,497
708,232,ses-01,5,1859999,247
709,232,ses-01,6,1860000,248
710,232,ses-02,1,3727500,497
711,232,ses-02,2,3720001,496
712,232,ses-02,3,3720000,496
713,232,ses-02,4,3727500,497
714,232,ses-02,5,1860000,248
715,232,ses-02,6,1860000,248
716,133,ses-01,1,3727500,497
717,133,ses-01,2,3720001,496
718,133,ses-01,3,3720000,496
719,133,ses-01,4,3727500,497
720,133,ses-01,5,1860000,248
721,133,ses-01,6,1860000,248
722,133,ses-02,1,3727500,497
723,133,ses-02,2,3720000,496
724,133,ses-02,3,3720000,496
725,133,ses-02,4,3727500,497
726,133,ses-02,5,1860000,248
727,133,ses-02,6,1860001,248
728,233,ses-01,1,3727500,497
729,233,ses-01,2,3720001,496
730,233,ses-01,3,3720000,496
731,233,ses-01,4,3727500,497
732,233,ses-01,5,1860000,248
733,233,ses-01,6,1860000,248
734,233,ses-02,1,3727499,496
735,233,ses-02,2,3720000,496
736,233,ses-02,3,3720000,496
737,233,ses-02,4,3727500,497
738,233,ses-02,5,1860000,248
739,233,ses-02,6,1860000,248
740,134,ses-01,1,3727500,497
741,134,ses-01,2,3720000,496
742,134,ses-01,3,3720000,496
743,134,ses-01,4,3727500,497
744,134,ses-01,5,1860000,248
745,134,ses-01,6,225000,30
746,134,ses-01,7,1860001,248
747,134,ses-02,1,3727500,497
748,134,ses-02,2,3720000,496
749,134,ses-02,3,3720000,496
750,134,ses-02,4,3727500,497
751,134,ses-02,5,1860000,248
752,134,ses-02,6,1860000,248
753,234,ses-01,1,3727500,497
754,234,ses-01,2,3720000,496
755,234,ses-01,3,3720000,496
